FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Hubei,Mainland China,2020-03-02T15:03:23,30.9756,112.2707,67103,2803,33934,,
,,,South Korea,2020-03-02T20:23:16,36,128,4335,28,30,,
,,,Italy,2020-03-02T20:23:16,43,12,2036,52,149,,
,,,Iran,2020-03-02T20:23:16,32,53,1501,66,291,,
,,Guangdong,Mainland China,2020-03-02T15:03:23,23.3417,113.4244,1350,7,1059,,
,,Henan,Mainland China,2020-03-02T11:43:03,33.882,113.614,1272,22,1205,,
,,Zhejiang,Mainland China,2020-03-02T11:43:03,29.1832,120.0934,1206,1,1069,,
,,Hunan,Mainland China,2020-03-02T11:43:03,27.6104,111.7088,1018,4,887,,
,,Anhui,Mainland China,2020-03-02T15:03:23,31.8257,117.2264,990,6,917,,
,,Jiangxi,Mainland China,2020-03-02T01:33:02,27.614,115.7221,935,1,850,,
,,Shandong,Mainland China,2020-03-02T08:03:12,36.3427,118.1498,758,6,460,,
,,Diamond Princess cruise ship,Others,2020-03-02T14:33:03,35.4437,139.638,705,6,10,,
,,Jiangsu,Mainland China,2020-03-02T12:53:02,32.9711,119.455,631,0,543,,
,,Chongqing,Mainland China,2020-03-02T23:23:02,30.0572,107.874,576,6,469,,
,,Sichuan,Mainland China,2020-03-02T15:03:23,30.6171,102.7103,538,3,386,,
,,Heilongjiang,Mainland China,2020-03-02T12:53:02,47.862,127.7615,480,13,356,,
,,Beijing,Mainland China,2020-03-02T02:13:16,40.1824,116.4142,414,8,282,,
,,Shanghai,Mainland China,2020-03-02T04:03:13,31.202,121.4491,337,3,292,,
,,Hebei,Mainland China,2020-03-02T09:43:05,38.0428,114.5149,318,6,296,,
,,Fujian,Mainland China,2020-03-02T12:53:02,26.0789,117.9874,296,1,255,,
,,,Japan,2020-03-02T20:33:02,36,138,274,6,32,,
,,Guangxi,Mainland China,2020-03-02T12:53:02,23.8298,108.7881,252,2,192,,
,,Shaanxi,Mainland China,2020-03-02T08:03:12,35.1917,108.8701,245,1,216,,
,,,France,2020-03-02T20:33:02,47,2,191,3,12,,
